document,total_words,unique_words,top_words,top_tfidf,avg_tfidf
15_ia_iem_du_lich_Buon_Ma_Thuot_ep_quen_loi_ve_-_Vntrip.vn.txt,1807,646,"khách_sạn, buôn, du_lịch, của, là, thuột, ma, ảnh, st, những","buôn, st, thuột, ma, khách_sạn",0.002573426188015305
3_ngoi_lang_co_nep_minh_giua_long_cao_nguyen_a_Ha_Giang.txt,952,503,"của, làng, lô, những, ngôi, đá, khách, với, là, nhà","lô, làng, lũng, cổ_kính, tường",0.002974855675194437
ao_Binh_Ba__Wikipedia_tieng_Viet.txt,483,252,"bình, ba, đảo, là, ngày, tháng, năm, 2013, bãi, nam","2013, đảo, bình, ba, truy_cập",0.002091836013049217
ao_Hon_Khoai_o_Ca_Mau_-_vung_bien_va_dai_at_phia_Tay_Nam_cua_To_quoc.txt,2553,749,"du_lịch, đảo, châu, hòn, bình, tour, khoai, ninh, trong, đồng","khoai, đảo, hòn, du_lịch, châu",0.0031639739405815836
a_Lat__Wikipedia_tieng_Viet.txt,15349,2646,"năm, và, lạt, đà, tháng, ngày, của, thành_phố, là, một","lạt, trần_sỹ, đà, tr, năm",0.0032620644866773393
"Bai_Bien_Ho_Tram,_Ba_Ria_-_Vung_Tau.txt",1847,645,"vũng_tàu, khách_sạn, tràm, hồ, biển, và, bãi, du_lịch, đến, là","vũng_tàu, tràm, khách_sạn, bãi, hồ",0.0025344496629961456
Bai_bien_My_Khe__Wikipedia_tieng_Viet.txt,196,144,"đà_nẵng, của, bãi, biển, bài, một, có, liên_kết, này, sơ_khai","đà_nẵng, sơ_khai, mỹ_khê, wikipedia, hỏng",0.0019155128661810625
Bai_bien_Sam_Son__Wikipedia_tieng_Viet.txt,575,365,"biển, sơn, sầm, bãi, thanh_hóa, bình, đã, và, nam, được","sầm, thanh_hóa, biển, sơn, bãi",0.0028687320840136434
"Bai_Dai_Phu_Quoc_voi_ve_ep_hoang_so,_lan_nuoc_trong_xanh_nhu_ngoc.txt",1571,620,"quốc, phú, bãi, dài, du_lịch, và, biển, từ, có, bạn","quốc, bãi, phú, dài, 000000",0.003050841332429703
Bai_Khem_Phu_Quoc_-_Ve_ep_tu_nhien_noi_ao_Ngoc.txt,2312,704,"phú, quốc, bãi, khem, du_khách, là, biển, các, những, ở","khem, quốc, phú, bãi, biển",0.0021217199326587035
